"PRIM_STATE","AREA","AREA_TITLE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","label","year","NAICS","NAICS_TITLE","I_GROUP","AREA_TYPE","OWN_CODE","PCT_TOTAL","PCT_RPT","LOC_QUOTIENT","JOBS_1000","HOURLY"
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","11-3051","Industrial Production Managers",NA,"90","8","32.759999999999998","68140","2.8999999999999999","18.629999999999999","24.710000000000001","31.75","40.549999999999997","51.07","38740","51390","66040","84350","106230",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","11-3071","Transportation, Storage, and Distribution Managers",NA,"60","16.899999999999999","27.68","57570","6.0999999999999996","16.879999999999999","20.109999999999999","25.620000000000001","33.409999999999997","42.520000000000003","35110","41830","53290","69490","88450",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","11-9041","Engineering Managers",NA,"170","25.699999999999999","40.18","83580","2.7000000000000002","25.48","33.100000000000001","40.399999999999999","45.25","59.530000000000001","52990","68850","84040","94120","123810",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","17-2051","Civil Engineers",NA,"400","22.399999999999999","28.969999999999999","60260","3.2000000000000002","20.149999999999999","24.030000000000001","28.5","33.5","40.270000000000003","41910","49980","59280","69680","83760",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","17-2071","Electrical Engineers",NA,"130","34.299999999999997","25.760000000000002","53580","3.2999999999999998","18.390000000000001","19.879999999999999","22.41","31.850000000000001","36.990000000000002","38250","41340","46620","66260","76950",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","17-2141","Mechanical Engineers",NA,"140","31.399999999999999","25.960000000000001","53990","2.3999999999999999","18.789999999999999","21.190000000000001","25.18","29.539999999999999","36.270000000000003","39080","44080","52370","61450","75440",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",NA,"170","23.899999999999999","30.280000000000001","62990","7.9000000000000004","13.779999999999999","16.489999999999998","23.670000000000002","39.969999999999999","#","28650","34290","49220","83150","#",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","47-1011","First-Line Supervisors/Managers of Construction Trades and Extraction Workers",NA,"340","9.1999999999999993","26.780000000000001","55690","2","19.030000000000001","22.280000000000001","26.539999999999999","31.300000000000001","34.369999999999997","39580","46340","55200","65100","71480",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","47-2211","Sheet Metal Workers",NA,"70","23.5","14.369999999999999","29890","5.7999999999999998","8.3300000000000001","10.960000000000001","13.970000000000001","17.530000000000001","21.149999999999999","17340","22790","29060","36450","44000",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA","7460","San Luis Obispo-Atascadero-Paso Robles, CA M","49-9042","Maintenance and Repair Workers, General",NA,"790","13.699999999999999","13.32","27710","5","7.3600000000000003","8.3499999999999996","11.970000000000001","17.050000000000001","22.23","15310","17370","24890","35460","46250",NA,"green job","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
